symbol,entrez_id
RP4-705D16.3,
COX7A2P1,
COX7A2P1,319098
SNORD88C,692204
CLEC14A,161198
NKX2-1,7080
HMGN1P3,
HMGN1P3,100036574
OR52W1,120787
AC005052.1,
RNA5SP503,100873554
AC011558.5,
RP11-82K18.2,
LINC01366,
LINC01366,257358
SNX19P1,
SNX19P1,378810
CFAP47,286464
CTB-52I2.4,
ATAD1,84896
OR2M2,391194
RP11-321E2.13,
SMOC1,64093
PRKD1,5587
RP11-307L14.2,
LAX1,54900
RP11-711M9.2,
SOX14,8403
AC133680.1,
LINC01756,101928460
RP5-1077I2.3,
RTP5,285093
MIR342,442909
CUBNP1,728064
ATP11A,23250
ADAT1,23536
RP11-597K23.1,
KRT24,192666
RHOQP2,
RHOQP2,730041
CTD-2591A6.2,
CTD-2184C24.2,
RP11-369F10.2,
VDAC1P1,
VDAC1P1,642585
MOB3C,148932
TRAM1L1,133022
RP11-542G1.3,
RAB3GAP2,25782
RP11-481J13.1,
SCXB,
RP11-697E2.12,
NEUROD1,4760
RP11-126K1.2,
RP11-364P22.2,
RP11-394I13.3,
CTD-2541M15.3,
RP11-392E22.5,
MACIR,90355
ARHGAP42P5,
ARHGAP42P5,100128514
SCXA,
AL513547.1,
RNA5SP387,107133508
LINC01596,105377617
CHSY3,337876
PRELID3B,51012
MTO1,25821
FLJ42969,
HOXA3,3200
SAMM50P1,100271893
RP11-863P13.5,
MIR6890,102465536
FAM69B,
VAMP8,8673
MTATP6P17,107075274
RNU6-71P,100873774
DNAAF1,123872
UGT2B4,7363
TPTE2P1,
TPTE2P1,646405
RP5-921G16.1,
RP11-160C18.5,
ZNF678,339500
RN7SKP208,
RN7SKP208,106481817
RNASEH2B-AS1,
RNASEH2B-AS1,100874255
NTS,4922
RNU7-119P,106479070
LINC01028,101928141
OR4A48P,
OR4A48P,403254
C10orf120,399814
AL627171.2,
RP11-1055B8.10,
ARMH3,79591
SGSM1,129049
DKFZP434I0714,
RP11-397E7.4,
RP4-575N6.2,
CHCHD4P2,
CHCHD4P2,100128657
ANKRD34B,340120
RP11-317M11.1,
MIR500B,100422911
MOSPD2,158747
TCTEX1D2,
CDC14B,8555
RP5-1112D6.4,
AC009299.5,
RP11-359D14.3,
PRKD2,25865
CCDC169-SOHLH2,100526761
RP11-933H2.4,
RNU6-991P,106480004
TUBGCP5,114791
AC018799.1,
RP11-468E2.11,
RP13-895J2.8,
AL359922.1,
MIR6740,102465443
PNMA6E,649238
RNU6ATAC41P,106481869
PPIAL4G,644591
LEO1,123169
RPL21P71,729962
FAHD2P1,
FAHD2P1,729610
RP11-565P22.2,
USP2,9099
NAP1L4P2,
NAP1L4P2,100874319
FMO2,2327
AC006987.7,
RP11-507K2.2,
FCN2,2220
RASSF2,9770
AL359973.1,
LINC01540,
AC012668.1,
AC007115.3,
MIR1193,100422837
RP11-134D3.2,
MZT2A,653784
SSR2,6746
RP11-981G7.6,
VSTM1,284415
AC114765.1,
DEFB136,613210
F2RL1,2150
TBC1D3C,414060
CFL1P7,
CFL1P7,100505919
CRTC3-AS1,101926895
CTD-2535P7.2,
ATP5PB,515
AC097468.7,
RP11-928F19.3,
MROH5,389690
LOC100507195,
LOC100288778,
RNU6-62P,106478987
ZNF705E,
ASB9P1,
ASB9P1,728619
RP11-282I1.1,
RFX7,64864
OR2H2,7932
RP4-800G7.2,
TUB-AS1,101927917
BNIP3P35,106480284
CTC-484M2.1,
AC093230.2,
AC025627.7,
CLDN6,9074
C9orf96,
RP11-560G2.2,
ATP5G1P7,
C1orf141,400757
SLC18B1,116843
RPL7P30,100270908
RPS4XP7,442162
VN1R70P,100130059
IGLV4-69,28784
COX6B1P5,
COX6B1P5,100289662
SERPINB4,6318
RP1-315G1.1,
GLMN,11146
AL355987.3,
RP11-460I19.2,
AC068987.1,
CTD-2343P13.1,
AC034220.3,
C4BPAP2,724
MIR3687-2,
LINC02982,100506688
RPS21P4,
RPS21P4,100128912
AC090955.5,
ASS1P6,451
NEK2P4,
NEK2P4,100381202
RP11-15D14.1,
RP11-12J10.3,
HMGN2P28,
HMGN2P28,100128372
AL139340.1,
HIGD1AP17,
HIGD1AP17,100874477
RP11-443I9.1,
HABP4,22927
AC106771.1,
RNY1P1,100873802
RP3-333B15.4,
FAM58A,
RP11-593P24.4,
LOC101927334,
MIR4789,100616395
C10orf71,118461
CTD-3222D19.5,
RP4-533D7.5,
AWAT2,158835
RP11-235E17.2,
LRRC34P1,
LRRC34P1,100288378
SEPHS2,22928
CBX3P3,
CBX3P3,100421861
RP11-494I9.1,
UNG,7374
SCAF1,58506
SNHG16,100507246
SLC4A1APP2,100422527
FASTKD3,79072
RP1-27O5.3,
ECT2,1894
HNRNPH2,3188
FAM19A2,
AC110926.4,
ACTA2-AS1,100132116
AC011604.2,
CTC-529L17.1,
COPZ1,22818
RP11-359D14.2,
CLDN24,100132463
CCDC73,493860
CTD-3051D23.4,
CTD-3022G6.1,
ABCD2,225
RP11-467I17.1,
DAOA-AS1,282706
GPS2P2,100132058
RP11-689P11.3,
MFSD2B,388931
TMSB10P1,
TMSB10P1,100506723
RP11-202H2.1,
RP11-290L1.4,
RP11-1006G14.5,
ARHGEF5,7984
GLIS2-AS1,101926896
GLIS2-AS1,
RP11-402J6.3,
IGHVIII-26-1,
IGHVIII-26-1,28347
RP11-514F3.5,
ERCC4,2072
RP11-709D24.6,
OR7E100P,81430
NID2,22795
RP11-713C19.2,
RP11-491F9.3,
IPO11-LRRC70,101180901
INTS6,26512
ATP6V0CP3,
ATP6V0CP3,442211
OR7E22P,9431
RP5-901A4.5,
RNU6-351P,106479722
RP11-705O1.8,
MGAT4EP,
MGAT4EP,641515
HIPK2,28996
AC092718.8,
AC011239.1,
AP000431.2,
RNU6-961P,106481483
RAPGEF3,10411
PFN1P11,
PFN1P11,100873784
RP11-434H6.2,
AP000343.1,
RBPMS-AS1,100128750
TAAR6,319100
RP11-80H5.5,
YY1AP1,55249
MTCO1P5,106480318
RNU6ATAC25P,
RNU6ATAC25P,106480384
KCNK10,54207
RP11-58K22.4,
CARM1P1,
CARM1P1,100130873
SIMC1,375484
RRS1-AS1,
CTD-2200P10.1,
RP5-1007H16.1,
RP11-638I2.10,
RP11-495P10.10,
CHCHD5,84269
RP11-553K23.2,
ZNF91,7644
RP11-472F19.1,
RP11-321L2.3,
OR4A8,81315
ENPP1,5167
RP1-29G21.1,
AL139188.1,
RPL7P57,643507
CAV1,857
RP11-543H12.1,
RP11-63L7.5,
AC053503.6,
OR10A4,283297
LOC101928012,101928012
RNU6-300P,106479700
RPL15P21,
